Record,New/Recap,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,PCRsex,PCRMorph,last updated:,17-Nov-2023,by:,DR,
233,N,2941-15337,WTSP,W191,ORG/LAV,YEL/A,11-Dec-22,M,X,,,,,
234,N,2941-15338,WTSP,W192,ORG/LAV,ORG/A,11-Dec-22,M,X,,,,,
235,N,2941-15339,WTSP,W193,ORG/LAV,DKB/A,11-Dec-22,F,X,,,,,
236,N,2941-15340,WTSP,W194,ORG/LAV,GRN/A,11-Dec-22,M,X,,,,,
237,N,2941-15341,WTSP,W195,ORG/LAV,WHT/A,11-Dec-22,F,X,,,,,
238,N,2941-15342,WTSP,W196,GRN/YG,RED/A,11-Dec-22,M,X,,,,,
240,N,2941-15343,WTSP,W197,LAV/RED,YEL/A,13-Dec-22,M,X,,,,,
241,N,2941-15347,WTSP,W198,LAV/RED,ORG/A,13-Dec-22,F,X,,,,,
242,N,2941-15348,WTSP,W199,LAV/RED,GRN/A,13-Dec-22,M,X,,,,,
243,N,2941-15349,WTSP,W200,LAV/RED,WHT/A,13-Dec-22,NA,NA,,,,,
244,N,2941-15350,WTSP,W201,RYR/YEL,RED/A,13-Dec-22,F,X,,,,,
245,N,2941-15351,WTSP,W202,YEL/A,RYR/YEL,13-Dec-22,M,X,,,,,
248,N,2941-15353,WTSP,W203,RYR/YEL,ORG/A,14-Jan-23,F,X,,,,,
251,N,2941-15355,WTSP,W204,RYR/YEL,DKB/A,20-Jan-23,M,X,,,,,
252,N,2941-15356,WTSP,W205,RYR/YEL,GRN/A,20-Jan-23,M,X,,,,,
253,N,2941-15357,WTSP,W206,RYR/YEL,WHT/A,20-Jan-23,M,X,,,,,
254,N,2941-15358,WTSP,W207,RYR/YEL,LAV/A,20-Jan-23,F,X,,,,,
255,N,2941-15359,WTSP,W208,RYR/RED,RED/A,20-Jan-23,M,X,,,,,
256,N,2941-15361,WTSP,W209,RYR/RED,YEL/A,20-Jan-23,M,X,,,,,
257,N,2941-15362,WTSP,W210,RYR/RED,ORG/A,20-Jan-23,M,X,,,,,
258,N,2941-15363,WTSP,W211,RYR/RED,DKB/A,20-Jan-23,M,X,,,,,
261,N,2941-15364,WTSP,W212,RYR/RED,WHT/A,04-Feb-23,F,X,,,,,
262,N,2941-15365,WTSP,W213,RYR/RED,GRN/A,04-Feb-23,M,X,,,,,
264,N,2941-15366,WTSP,W214,RYR/RED,LAV/A,10-Feb-23,M,X,,,,,
265,N,2941-15367,WTSP,W215,RYR/GRN,RED/A,10-Feb-23,F,X,,,,,
267,N,2941-15368,WTSP,W216,RYR/GRN,YEL/A,15-Feb-23,M,X,,,,,
268,N,2941-15369,WTSP,W217,RYR/GRN,ORG/A,15-Feb-23,M,X,,,,,
269,N,2941-15370,WTSP,W218,RYR/GRN,DKB/A,15-Feb-23,M,X,,,,,
270,N,2941-15371,WTSP,W219,RYR/GRN,GRN/A,15-Feb-23,M,X,,,,,
271,N,2941-15372,WTSP,W220,RYR/GRN,WHT/A,15-Feb-23,M,X,,,,,
272,N,2941-15373,WTSP,W221,RYR/GRN,LAV/A,15-Feb-23,M,X,,,,,
273,N,2941-15374,WTSP,W222,RYR/ORG,RED/A,15-Feb-23,F,X,,,,,
274,N,2941-15375,WTSP,W223,RYR/ORG,YEL/A,19-Feb-23,M,X,,,,,
276,N,2941-15379,WTSP,W224,RYR/ORG,ORG/A,07-Mar-23,M,X,,,,,
279,N,2941-15381,WTSP,W225,RYR/ORG,DKB/A,11-Mar-23,F,X,,,,,
280,N,2941-15382,WTSP,W226,RYR/ORG,GRN/A,11-Mar-23,M,X,,,,,
281,N,2941-15383,WTSP,W227,RYR/ORG,WHT/A,11-Mar-23,F,X,,,,,
283,N,2941-15384,WTSP,W228,RYR/ORG,LAV/A,11-Mar-23,M,X,,,,,
284,N,2941-15385,WTSP,W229,RYR/DKB,RED/A,23-Mar-23,F,WS,,,,,
285,N,2941-15386,WTSP,W230,RYR/DKB,GRN/A,23-Mar-23,M,WS,,,,,
286,N,2941-15387,WTSP,W231,RYR/DKB,ORG/A,23-Mar-23,M,TS,,,,,
287,N,2941-15388,WTSP,W232,RYR/DKB,YEL/A,23-Mar-23,M,TS,,,,,
288,N,2941-15389,WTSP,W233,RYR/DKB,DKB/A,23-Mar-23,M,TS,,,,,
289,N,2941-15390,WTSP,W234,RYR/DKB,WHT/A,28-Mar-23,M,WS,,,,,
292,N,2941-15391,WTSP,W235,RYR/DKB,LAV/A,28-Mar-23,F,TS,,,,,
293,N,2941-15392,WTSP,W236,BYB/WHT,RED/A,28-Mar-23,M,TS,,,,,
294,N,2941-15393,WTSP,W237,BYB/WHT,YEL/A,28-Mar-23,F,TS,,,,,
300,N,2941-15394,WTSP,W238,BYB/WHT,LAV/A,28-Mar-23,F,WS,,,,,
302,N,2941-15398,WTSP,W239,BYB/WHT,DKB/A,30-Mar-23,M,WS,,,,,
303,N,2941-15399,WTSP,W240,BYB/WHT,GRN/A,30-Mar-23,M,TS,,,,,
304,N,2941-15400,WTSP,W241,BYB/WHT,WHT/A,30-Mar-23,F,TS,,,,,
305,N,1321-20201,WTSP,W242,BYB/DKB,RED/A,30-Mar-23,F,X,,,,,
306,N,1321-20202,WTSP,W243,BYB/DKB,GRN/A,30-Mar-23,M,X,,,,,
307,N,1321-20203,WTSP,W244,BYB/DKB,YEL/A,30-Mar-23,M,X,,,,,
309,N,1321-20204,WTSP,W245,BYB/DKB,DKB/A,07-Apr-23,F,X,,,,,
310,N,1321-20205,WTSP,W246,BYB/DKB,WHT/A,07-Apr-23,F,X,,,,,
311,N,1321-20206,WTSP,W247,BYB/DKB,LAV/A,07-Apr-23,M,X,,,,,
312,N,1321-20207,WTSP,W248,BYB/RED,RED/A,07-Apr-23,M,X,,,,,
313,N,1321-20209,WTSP,W249,BYB/RED,YEL/A,07-Apr-23,M,X,,,,,
314,N,1321-20211,WTSP,W250,BYB/RED,DKB/A,20-Apr-23,M,X,,,,,
315,N,1321-20212,WTSP,W251,BYB/RED,GRN,20-Apr-23,M,X,,,,,
317,N,1321-20213,WTSP,W252,BYB/RED,WHT/A,20-Apr-23,F,X,,,,,
320,N,1321-20214,WTSP,W253,BYB/RED,LAV/A,04-May-23,F,X,,,,,
321,N,1321-20215,WTSP,W254,BYB/GRN,RED/A,04-May-23,F,X,,,,,
322,N,1321-20216,WTSP,W255,BYB/GRN,YEL/A,04-May-23,F,X,,,,,
323,N,1321-20217,WTSP,W256,BYB/GRN,ORG/A,04-May-23,F,X,,,,,
324,N,1321-20218,WTSP,W257,BYB/GRN,DKB/A,04-May-23,F,X,,,,,
325,N,1321-20224,WTSP,W258,BYB/GRN,GRN/A,04-May-23,M,X,,,,,
326,N,1321-20225,WTSP,W259,BYB/GRN,WHT/A,04-May-23,F,X,,,,,
327,N,1321-20228,WTSP,W260,BYB/GRN,LAV/A,04-May-23,F,X,,,,,
328,N,1321-20229,WTSP,W261,BYB/GRN,BYB/A,04-May-23,M,X,,,,,
329,N,1321-20232,WTSP,W262,YEL/RED,BYB/A,15-Oct-23,,,,,,,
330,N,1321-20233,WTSP,W263,YEL/DKB,BYB/A,15-Oct-23,,,,,,,
331,N,1321-20239,WTSP,W264,YEL/GRN,BYB/A,22-Oct-23,,,,,,,
332,N,1321-20240,WTSP,W265,YEL/WHT,BYB/A,22-Oct-23,,,,,,,
333,N,1321-20241,WTSP,W266,YEL/LAV,BYB/A,22-Oct-23,,,,,,,
334,N,1321-20242,WTSP,W267,BWB/A,YEL/RED,22-Oct-23,,,,,,,
335,N,1321-20243,WTSP,W268,BWB/A,YEL/YEL,22-Oct-23,,,,,,,
